Date,BRK-B,GLD,QQQ,SPY,TLT
2020-01-03,-0.009676460089203642,0.013268521727000326,-0.009159945262135927,-0.0075724251740056925,0.015400607693454305
2020-01-06,0.0035812752834594175,0.010489502076611812,0.006443299920512624,0.0038152571032514793,-0.00567850078384835
2020-01-07,-0.004713896199500134,0.003935150508558971,-0.00013916223308652054,-0.002811670552556489,-0.0049163992124041656
2020-01-08,0.00030987661466963523,-0.007501524641443713,0.007516026611052773,0.005329726041617855,-0.0066109938197820295
2020-01-09,0.011770380718897577,-0.005651653463197515,0.00847363945949775,0.006780368392112379,0.003511063934024561
2020-01-10,-0.008878193017647362,0.006026192495848015,-0.002557393134277497,-0.002877723366632501,0.008890648492724917
2020-01-13,0.008075200205120314,-0.007419483430124996,0.011537268965944536,0.006877451248039179,-0.0030339206144777142
2020-01-14,-0.005602971312741456,-0.0008915435213457945,-0.0039378988301673745,-0.0015244501514853903,0.005143799903438939
2020-01-15,0.005194382814990961,0.005834242779070742,0.0004091998766435623,0.0022597570316236215,0.00663162681364704
2020-01-16,0.006043308899224886,-0.0015695082440052577,0.00958335497003926,0.008318474083208294,-0.0031502325577461576
2020-01-17,0.002045885297715211,0.0018454259925253513,0.004948732364867592,0.0031123108873114536,-0.008548397959311504
2020-01-21,-0.006820122008006302,0.0010915790702048511,-0.0004476114446664292,-0.001958045241409301,0.010505931723390427
2020-01-22,0.0039801792585656415,0.0003406555206315609,0.0026423238682109496,0.0001205258061431902,0.003512684538560018
2020-01-23,-0.0006969957654432424,0.002248122121045526,0.003216271268426274,0.0011468171151347573,0.007002465207880393
2020-01-24,-0.01098615493424715,0.005845572586286041,-0.008415425052155867,-0.00889276100059777,0.008088174959163918
2020-01-27,-0.01943931786231401,0.006825312844883635,-0.020655411607496066,-0.016029707130432502,0.015554534769385064
2020-01-28,0.00710272804104517,-0.008926785569624784,0.01535984441057514,0.010479458168075606,-0.007830947340253913
