Date,AAPL,AMZN,GOOGL,META,MSFT
2020-01-03,-0.009721615422567553,-0.012139034655920922,-0.005231554764967616,-0.005291086674559575,-0.012451549867722678
2020-01-06,0.00796824831658638,0.01488557393050649,0.026654420275110224,0.01883357458550594,0.002584769660608499
2020-01-07,-0.0047028684890181305,0.0020916204156393725,-0.0019316998959083564,0.00216365584335243,-0.00911786928981051
2020-01-08,0.01608590463245929,-0.007808640261289357,0.007117803224863994,0.010137931397557587,0.015928357400984083
2020-01-09,0.021240971913617734,0.0047991747864684076,0.010497735041364864,0.014310961177758097,0.012493174578755761
2020-01-10,0.0022605801334514286,-0.009410596802031268,0.006458719140899127,-0.0010995077378358475,-0.004626896877666931
2020-01-13,0.021364401557490753,0.004322578245699482,0.007746968025749146,0.01765580962208335,0.012023994277473582
2020-01-14,-0.01350334715332202,-0.011558211718052602,-0.00655552078665822,-0.012843116611438554,-0.007042916272812283
2020-01-15,-0.004285243891465007,-0.003969126548924895,0.0060186738477363555,0.009540688438469225,0.006476315371165109
2020-01-16,0.01252597867055072,0.00854991102959346,0.007615360875852462,0.0028036343583333068,0.01832305640982712
2020-01-17,0.011071538904149136,-0.00703966144232826,0.020245852107076523,0.0016685259347282155,0.005596808581275647
2020-01-21,-0.006777084580593451,0.014629525206926841,0.001845384445047893,-0.0031512367452548595,-0.003590847022321042
2020-01-22,0.003569429360201104,-0.0023995494624704516,0.0010928068499158616,-0.0005419236958946749,-0.004804534279226003
2020-01-23,0.00481576702446862,-0.0015259112256781338,0.0005526450916122361,-0.00704875854747633,0.006155490910193739
2020-01-24,-0.0028818580950349393,-0.012172426638861644,-0.012473830129920982,-0.00828161432118113,-0.010076555270772225
2020-01-27,-0.029405395214978758,-0.01788746376771211,-0.0234897270389971,-0.014086596307713029,-0.01672346298352878
2020-01-28,0.02828948716372648,0.01362436592451366,0.01310983885959538,0.013589710438388414,0.01959590706021186
2020-01-29,0.020932309643443725,0.0025630978623367717,0.0042743227640995585,0.024978279005861026,0.01559294637627251
2020-01-30,-0.0014491121577679955,0.006824489189870775,-0.0016818929908249958,-0.06137174399521372,0.028207489413145215
2020-01-31,-0.044338580119388626,0.07379135586484753,-0.014763557893762047,-0.03636709499495583,-0.014758658416666792
2020-02-03,-0.0027464706349135115,-0.0022501685803328897,0.034771357800866376,0.011292193048055843,0.02437901400154696
2020-02-04,0.033013857947273184,0.022687342140775613,-0.025084144743268588,0.027621330142315825,0.03291658214888349
2020-02-05,0.008154099031416617,-0.004781236737139594,0.0004426904645942198,0.0013343557877882883,-0.001221553388455865
2020-02-06,0.011697025198932343,0.0050787328892443195,0.02069092731957478,0.0035220213174396164,0.02073369772266953
2020-02-07,-0.01359280484882841,0.014169136390608683,0.0021275201739432426,0.0070191746916776765,0.0014159159762372475
2020-02-10,0.004749753193585171,0.026273579599096486,0.019978163987126152,0.003438087042869631,0.026156970906061172
2020-02-11,-0.006033122815424563,0.007915025985726132,0.000928053675681495,-0.02755115824108345,-0.022575453101016607
2020-02-12,0.023747166617138493,0.004277469597884664,0.005675354915849695,0.017230820344684705,0.0014637554807865882
2020-02-13,-0.007120931346138892,-0.00468981707537619,-0.0034506458432650433,0.011292340627244934,-0.005413586497566514
2020-02-14,0.00024667700416314275,-0.006977166077050345,0.0035285240135491946,0.004879520130778081,0.008926939990692162
2020-02-18,-0.01831081333196516,0.009742990607446878,0.0004673781774782171,0.016901482818298952,0.010142885584729422
2020-02-19,0.014482739233883768,0.006749650094826309,0.003573767695183916,-0.001423167040148332,0.002998994743156125
2020-02-20,-0.010258780929696676,-0.007888626914309249,-0.005167542862304919,-0.01337993695455264,-0.01527101307129275
2020-02-21,-0.0226351921184752,-0.026533823330561868,-0.02210314524100221,-0.020505308781192944,-0.03161266799260043
2020-02-24,-0.04750033158789502,-0.04135555023463999,-0.04287261284656996,-0.04500890574936234,-0.04311562975983152
2020-02-25,-0.03387216382271063,-0.018190498951138112,-0.023622002909452378,-0.01967911839852232,-0.01650159215252478
2020-02-26,0.015863464511729264,0.003472315416060967,0.002993482718024243,0.002185214583870998,0.012494651327737083
2020-02-27,-0.06536792249052636,-0.048136265467272676,-0.05431274614398607,-0.03777888022712084,-0.07045909858653432
2020-02-28,-0.000585051450588181,-0.0002918467224900523,0.01847988157648439,0.014334701870802435,0.024212894824524156
2020-03-02,0.09310085293328796,0.03726611425327642,0.03514669231979006,0.020626502099796218,0.06653919144286613
2020-03-03,-0.03175951724062864,-0.023009811402324054,-0.03505700625556152,-0.053705997698635044,-0.04791948912999322
2020-03-04,0.04638477630988613,0.03501322901563819,0.03280203118258784,0.031577756216782715,0.036715136321698205
2020-03-05,-0.03243694262400665,-0.026216794314283476,-0.048378727638951236,-0.034365771488072294,-0.02509517048745713
2020-03-06,-0.01328030839635641,-0.011922924014239333,-0.014466436578519426,-0.022033802667303926,-0.02826722906977419
2020-03-09,-0.07909212161692558,-0.05285383245165354,-0.061702064799804335,-0.06400130396548731,-0.06777265306394331
2020-03-10,0.07202147452794327,0.05065506668458686,0.048840668832307754,0.05126850474037736,0.06838415546515053
2020-03-11,-0.03473043860080105,-0.03750889642974897,-0.05040126723392868,-0.04461537970689122,-0.045302216082907076
2020-03-12,-0.09875461066895186,-0.07922082514747941,-0.08204628780498524,-0.09263388858025956,-0.09483801600993058
2020-03-13,0.11980844468024787,0.06464833687376514,0.09241148701183866,0.10234999634939279,0.1421689068413987
2020-03-16,-0.12864710532951962,-0.053697516604298,-0.11634159533785315,-0.1425299215606053,-0.1473904133820162
2020-03-17,0.04397008663471769,0.07026613247879654,0.04199445243555955,0.02335440209948203,0.08233657307107967
2020-03-18,-0.024479859643426916,0.012257741060410998,-0.024032605601750134,-0.01646353627862107,-0.04209608594943137
2020-03-19,-0.007662052990372925,0.027830613766863133,0.018768397074164334,0.0419841952849751,0.0164529219256202
2020-03-20,-0.06348546021111989,-0.018522798541689034,-0.03909439424219141,-0.022203384677349725,-0.03755840748047978
2020-03-23,-0.0212442711017804,0.030735291504301987,-0.013180826906837084,-0.010886091589260016,-0.009974431790937155
2020-03-24,0.10032520927017408,0.019586561347294085,0.07198345871361811,0.0869680154338488,0.09089545214417272
2020-03-25,-0.005508528146730751,-0.027967604900146936,-0.025123746649364453,-0.0296308959194701,-0.00957256290511943
2020-03-26,0.05262261717265759,0.03693312450375408,0.05564539268789792,0.045643555552407955,0.06255106616140882
2020-03-27,-0.04140206336209118,-0.028325389436650084,-0.04528255915280477,-0.040100304852322965,-0.041060968403107134
2020-03-30,0.02853828165799932,0.03360354691971379,0.032469863126563414,0.05842213986108158,0.07034080404237031
2020-03-31,-0.0020410946334198377,-0.007245622950859176,0.013643824559970597,0.005122007744815749,-0.015727415787627486
2020-04-01,-0.05261699221813021,-0.02155179126735396,-0.05150829591032524,-0.04316555841900971,-0.03550798319768533
2020-04-02,0.016686798482878906,0.005834205106051371,0.013547005300996062,-0.008834514025190532,0.02070835513180569
2020-04-03,-0.01437148073241179,-0.0063788821910731874,-0.021781126615834978,-0.02534932456551464,-0.009210160932612066
2020-04-06,0.08723735292015311,0.04772922477644714,0.08281335419135782,0.07374513765256752,0.07436746532514538
